iter	Passed	Remaining
0	163	163238
1	166	82848
2	167	55621
3	170	42360
4	174	34672
5	177	29477
6	180	25666
7	183	22744
8	186	20543
9	188	18627
10	190	17094
11	192	15814
12	194	14733
13	195	13768
14	198	13020
15	199	12267
16	201	11637
17	203	11101
18	205	10602
19	206	10142
20	208	9720
21	210	9335
22	212	9006
23	213	8686
24	214	8379
25	215	8088
26	216	7814
27	217	7560
28	218	7326
29	219	7098
30	220	6889
31	221	6694
32	222	6514
33	223	6343
34	224	6188
35	225	6037
36	226	5888
37	226	5745
38	227	5614
39	228	5486
40	229	5365
41	230	5249
42	230	5139
43	231	5034
44	232	4932
45	233	4835
46	233	4742
47	234	4652
48	235	4565
49	235	4481
50	236	4400
51	237	4323
52	238	4254
53	239	4192
54	240	4131
55	241	4077
56	243	4030
57	244	3976
58	245	3919
59	246	3861
60	247	3804
61	247	3748
62	248	3696
63	249	3644
64	249	3593
65	250	3545
66	251	3497
67	251	3451
68	252	3405
69	253	3370
70	255	3339
71	256	3310
72	258	3280
73	259	3243
74	259	3205
75	260	3169
76	261	3134
77	262	3099
78	262	3065
79	263	3031
80	264	2998
81	264	2965
82	265	2930
83	265	2899
84	266	2871
85	267	2845
86	268	2821
87	269	2796
88	270	2770
89	271	2745
90	272	2719
91	273	2694
92	273	2669
93	274	2644
94	275	2621
95	275	2598
96	276	2575
97	277	2552
98	277	2529
99	278	2507
100	279	2485
101	279	2464
102	280	2443
103	281	2423
104	281	2403
105	283	2387
106	284	2377
107	286	2368
108	287	2352
109	288	2334
110	289	2317
111	289	2299
112	290	2281
113	291	2263
114	291	2246
115	292	2229
116	293	2211
117	293	2196
118	294	2181
119	295	2165
120	295	2149
121	296	2132
122	297	2118
123	298	2105
124	299	2096
125	300	2087
126	301	2075
127	302	2063
128	303	2052
129	304	2040
130	305	2027
131	306	2013
132	306	2000
133	307	1987
134	308	1974
135	308	1962
136	309	1949
137	310	1937
138	310	1926
139	311	1915
140	313	1908
141	314	1898
142	314	1887
143	315	1876
144	316	1865
145	317	1855
146	317	1844
147	318	1833
148	319	1823
149	320	1813
150	320	1803
151	321	1793
152	322	1783
153	322	1773
154	323	1763
155	324	1753
156	324	1744
157	325	1734
158	326	1725
159	326	1716
160	327	1706
161	329	1702
162	330	1696
163	331	1690
164	332	1684
165	334	1679
166	335	1672
167	335	1663
168	336	1655
169	337	1646
170	337	1638
171	338	1630
172	339	1622
173	340	1614
174	340	1605
175	341	1598
176	342	1591
177	344	1588
178	345	1583
179	345	1576
180	346	1569
181	347	1563
182	348	1557
183	349	1550
184	350	1543
185	351	1537
186	351	1529
187	352	1522
188	353	1516
189	353	1509
190	354	1503
191	355	1496
192	356	1490
193	357	1484
194	358	1479
195	359	1475
196	361	1472
197	362	1467
198	363	1461
199	363	1455
200	364	1448
201	365	1442
202	366	1436
203	366	1430
204	367	1424
205	368	1418
206	368	1413
207	369	1407
208	370	1401
209	371	1396
210	372	1391
211	374	1391
212	376	1391
213	377	1387
214	378	1381
215	379	1376
216	380	1372
217	381	1367
218	382	1362
219	382	1357
220	383	1353
221	384	1348
222	385	1342
223	386	1337
224	386	1331
225	387	1328
226	388	1323
227	389	1318
228	390	1313
229	391	1309
230	391	1304
231	392	1299
232	393	1294
233	393	1289
234	394	1284
235	395	1279
236	396	1274
237	396	1269
238	397	1264
239	398	1260
240	398	1256
241	399	1251
242	400	1246
243	401	1242
244	401	1238
245	403	1236
246	405	1235
247	406	1232
248	407	1228
249	408	1224
250	409	1220
251	409	1216
252	410	1212
253	411	1208
254	412	1204
255	412	1199
256	413	1195
257	414	1191
258	415	1187
259	415	1183
260	416	1179
261	417	1177
262	419	1174
263	420	1171
264	421	1168
265	422	1166
266	424	1164
267	425	1161
268	426	1158
269	427	1154
270	427	1150
271	428	1146
272	429	1143
273	429	1138
274	430	1135
275	431	1131
276	432	1130
277	433	1126
278	434	1123
279	435	1120
280	437	1118
281	438	1116
282	439	1113
283	440	1109
284	441	1106
285	441	1103
286	442	1099
287	443	1095
288	443	1092
289	444	1088
290	445	1084
291	446	1081
292	446	1078
293	448	1076
294	449	1074
295	451	1072
296	451	1069
297	452	1066
298	453	1063
299	454	1060
300	455	1056
301	455	1053
302	456	1049
303	456	1046
304	457	1042
305	458	1039
306	458	1035
307	459	1032
308	460	1029
309	460	1025
310	461	1023
311	463	1021
312	463	1018
313	464	1015
314	465	1012
315	466	1009
316	466	1005
317	467	1002
318	468	999
319	469	996
320	469	993
321	470	990
322	471	987
323	471	984
324	472	981
325	473	978
326	474	975
327	474	972
328	475	969
329	475	966
330	476	963
331	478	962
332	480	961
333	481	960
334	482	957
335	483	954
336	483	951
337	484	948
338	485	945
339	485	943
340	486	940
341	487	937
342	487	934
343	488	931
344	488	928
345	489	925
346	490	922
347	490	919
348	491	917
349	493	916
350	494	914
351	496	913
352	497	911
353	498	908
354	498	906
355	499	903
356	500	901
357	501	898
358	501	895
359	502	893
360	503	890
361	503	887
362	504	884
363	504	882
364	505	879
365	506	877
366	507	875
367	508	873
368	509	870
369	510	868
370	511	866
371	512	865
372	513	863
373	514	860
374	515	858
375	515	855
376	516	853
377	517	851
378	517	848
379	518	846
380	519	843
381	519	841
382	520	838
383	522	837
384	523	835
385	524	834
386	526	833
387	527	831
388	528	829
389	529	827
390	529	825
391	530	822
392	531	820
393	531	818
394	532	815
395	533	813
396	533	810
397	534	808
398	535	806
399	536	804
400	537	803
401	539	802
402	540	800
403	541	799
404	542	797
405	543	794
406	544	792
407	544	790
